"vacancy_id","search_text","name","employer_name","area_name","published_date","experience_name","schedule_name","salary_avg","salary_currency"
"130954873","bi analyst","Business / Venture Analyst (операционный фокус)","Интеллектуальные Системы Управления","Санкт-Петербург","2026-03-04","От 3 до 6 лет","Гибкий график",NULL,NULL
"130540520","bi analyst","Product Analyst/Продуктовый аналитик","Домклик","Москва","2026-03-10","От 1 года до 3 лет","Полный день",NULL,NULL
"130401512","bi analyst","Аналитик BI (аналитик данных)","Страховая группа МАКС","Москва","2026-02-25","От 1 года до 3 лет","Полный день","200000","RUR"
"130834368","bi analyst","Data analyst","ГКУ Инфогород","Москва","2026-02-27","От 3 до 6 лет","Полный день",NULL,NULL
"131003331","bi analyst","Менеджер по качеству / Специалист по качеству","Balton Trading Asia","Ташкент","2026-03-05","От 1 года до 3 лет","Полный день",NULL,NULL
"130793559","bi analyst","Business Analyst (Retention team)","АйрисДев","Минск","2026-02-26","От 3 до 6 лет","Удаленная работа",NULL,NULL
"130831276","bi analyst","Специалист-аналитик","АСБ Беларусбанк","Минск","2026-03-11","От 1 года до 3 лет","Полный день","2500","BYR"
"130600404","bi analyst","Специалист по анализу и отчетности/BI Analyst","АльфаСтрахование","Москва","2026-02-19","От 1 года до 3 лет","Полный день",NULL,NULL
"130636462","bi analyst","Аналитик продаж","ГК Электронинвест","Зеленоград","2026-02-20","От 1 года до 3 лет","Полный день","150000","RUR"
"130700969","bi analyst","Аналитик данных","Газпром нефть","Екатеринбург","2026-02-24","От 1 года до 3 лет","Полный день",NULL,NULL
"130948074","bi analyst","BI-аналитик","НУР Телеком","Бишкек","2026-03-10","От 1 года до 3 лет","Полный день",NULL,NULL
"130106156","bi analyst","Data/Business Analyst","АйТиЭф Групп","Минск","2026-02-17","От 1 года до 3 лет","Удаленная работа","2000.0000000000000000","USD"
"130481586","bi analyst","Младший аналитик (Junior Analyst)","Красное & Белое, розничная сеть","Москва","2026-02-16","От 1 года до 3 лет","Полный день","100000","RUR"
"130706732","bi analyst","Главный специалист отдела корпоративной безопасности","Marfatech","Москва","2026-02-24","От 3 до 6 лет","Полный день",NULL,NULL
"130736407","bi analyst","Data analyst (Power BI)","DATAPAX","Астана","2026-03-12","От 3 до 6 лет","Полный день",NULL,NULL
"130964200","bi analyst","BI Аналитик (Luxms BI) / Data Analyst","ГК ВИЗАВИ Консалт","Москва","2026-03-04","От 3 до 6 лет","Удаленная работа","300000","RUR"
"130785108","bi analyst","Data Analyst","Филиппович Вячеслав Васильевич","Минск","2026-02-26","От 3 до 6 лет","Удаленная работа",NULL,NULL
"130553471","bi analyst","Data Engineer / Analyst (PostgreSQL / ETL / Data Integration)","ASTERIUM","Ташкент","2026-02-18","От 3 до 6 лет","Полный день",NULL,NULL
"130842600","bi analyst","Head of Analytics","Исламский банк Заман Банк","Алматы","2026-02-27","От 3 до 6 лет","Удаленная работа",NULL,NULL
"130498173","bi analyst","Senior Product Analyst (Drinkit)","DODO BRANDS (Dodo Pizza, Drinkit)","Москва","2026-02-16","От 3 до 6 лет","Удаленная работа",NULL,NULL
"130249674","bi analyst","Data Analyst (Cyprus office)","Opiniq Ltd","Кипр","2026-02-24","От 3 до 6 лет","Полный день",NULL,NULL
"130717319","bi analyst","Senior Product Analyst (iGaming)","Belize","Москва","2026-02-24","От 3 до 6 лет","Удаленная работа",NULL,NULL
"128441600","bi analyst","Marketing Analyst","ОпенМайГейм","Минск","2026-03-04","От 3 до 6 лет","Полный день",NULL,NULL
"130465978","bi analyst","Аналитик ресторанного бизнеса, BI-аналитик","Снеди Феди","Москва","2026-03-12","От 3 до 6 лет","Полный день","200000","RUR"
"130475589","bi analyst","Бизнес-аналитик (Визуализация)","ГФК-Русь","Москва","2026-02-16","От 1 года до 3 лет","Полный день",NULL,NULL
"115109674","bi analyst","Аналитик данных (Data analyst)","Красное & Белое, розничная сеть","Москва","2026-03-06","От 1 года до 3 лет","Полный день",NULL,NULL
"130480496","bi analyst","Аналитик ритейл медиа","Командор","Красноярск","2026-02-16","От 3 до 6 лет","Полный день","120000","RUR"
"130408433","bi analyst","Руководитель направления Информационных технологий","ЕВА","Санкт-Петербург","2026-03-11","Более 6 лет","Полный день",NULL,NULL
"131011095","bi analyst","Старший аналитик Отдела методологии и отчетности","АО «ОТП Банк» (JSC «OTP Bank»)","Москва","2026-03-05","От 3 до 6 лет","Полный день",NULL,NULL
"130619858","bi analyst","Product Manager / Product Owner (Bronevik.com)","МТС","Москва","2026-02-19","От 3 до 6 лет","Полный день",NULL,NULL
"130840970","bi analyst","Системный аналитик","Нестле Бел","Минск","2026-03-11","От 1 года до 3 лет","Полный день",NULL,NULL
"131027516","bi analyst","BI аналитик операционного блока Банка","Азиатско-Тихоокеанский Банк","Москва","2026-03-06","От 3 до 6 лет","Полный день","200000","RUR"
"129292445","bi analyst","Data Analyst в Travel Tech","Sputnik8","Сербия","2026-02-11","От 3 до 6 лет","Удаленная работа",NULL,NULL
"130244110","bi analyst","Руководитель отдела BI –аналитики","JustCall г. Калининград","Калининград","2026-02-17","От 3 до 6 лет","Полный день",NULL,NULL
